"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USC00200230","ANN ARBOR U OF MICH, MI US","1916-01","29.4","37.4","21.4"
"USC00200230","ANN ARBOR U OF MICH, MI US","1916-02","20.7","27.8","13.5"
"USC00200230","ANN ARBOR U OF MICH, MI US","1916-03","27.8","36.8","18.8"
"USC00200230","ANN ARBOR U OF MICH, MI US","1916-04","46.5","56.8","36.2"
"USC00200230","ANN ARBOR U OF MICH, MI US","1916-05","57.1","66.6","47.5"
"USC00200230","ANN ARBOR U OF MICH, MI US","1916-06","61.9","70.9","53.0"
"USC00200230","ANN ARBOR U OF MICH, MI US","1916-07","76.0","87.1","64.8"
"USC00200230","ANN ARBOR U OF MICH, MI US","1916-08","72.7","83.0","62.3"
"USC00200230","ANN ARBOR U OF MICH, MI US","1916-09","61.5","70.7","52.4"
"USC00200230","ANN ARBOR U OF MICH, MI US","1916-10","50.4","61.0","39.7"
"USC00200230","ANN ARBOR U OF MICH, MI US","1916-11","39.1","47.5","30.6"
"USC00200230","ANN ARBOR U OF MICH, MI US","1916-12","24.4","31.8","17.0"
"USC00200230","ANN ARBOR U OF MICH, MI US","1917-01","22.2","29.7","14.8"
"USC00200230","ANN ARBOR U OF MICH, MI US","1917-02","18.0","26.7","9.2"
"USC00200230","ANN ARBOR U OF MICH, MI US","1917-03","35.5","44.2","26.8"
"USC00200230","ANN ARBOR U OF MICH, MI US","1917-04","43.6","53.0","34.1"
"USC00200230","ANN ARBOR U OF MICH, MI US","1917-05","50.4","59.4","41.4"
"USC00200230","ANN ARBOR U OF MICH, MI US","1917-06","63.0","73.0","53.0"
"USC00200230","ANN ARBOR U OF MICH, MI US","1917-07","70.5","79.6","61.4"
"USC00200230","ANN ARBOR U OF MICH, MI US","1917-08","67.4","78.7","56.1"
"USC00200230","ANN ARBOR U OF MICH, MI US","1917-09","59.3","69.4","49.2"
"USC00200230","ANN ARBOR U OF MICH, MI US","1917-10","43.4","51.0","35.9"
"USC00200230","ANN ARBOR U OF MICH, MI US","1917-11","37.4","46.3","28.5"
"USC00200230","ANN ARBOR U OF MICH, MI US","1917-12","20.1","26.3","13.9"
"USC00200230","ANN ARBOR U OF MICH, MI US","1918-01","11.5","19.2","3.8"
"USC00200230","ANN ARBOR U OF MICH, MI US","1918-02","23.9","34.4","13.4"
"USC00200230","ANN ARBOR U OF MICH, MI US","1918-03","38.0","49.3","26.8"
"USC00200230","ANN ARBOR U OF MICH, MI US","1918-04","43.8","54.8","32.8"
"USC00200230","ANN ARBOR U OF MICH, MI US","1918-05","63.1","74.7","51.5"
"USC00200230","ANN ARBOR U OF MICH, MI US","1918-06","65.9","78.8","53.0"
"USC00200230","ANN ARBOR U OF MICH, MI US","1918-07","70.2","81.6","58.7"
"USC00200230","ANN ARBOR U OF MICH, MI US","1918-08","73.8","85.2","62.5"
"USC00200230","ANN ARBOR U OF MICH, MI US","1918-09","54.8","65.0","44.5"
"USC00200230","ANN ARBOR U OF MICH, MI US","1918-10","53.0","63.0","43.0"
"USC00200230","ANN ARBOR U OF MICH, MI US","1918-11","40.2","46.8","33.5"
"USC00200230","ANN ARBOR U OF MICH, MI US","1918-12","32.9","38.9","27.0"
"USC00200230","ANN ARBOR U OF MICH, MI US","1919-01","28.3","36.6","19.9"
"USC00200230","ANN ARBOR U OF MICH, MI US","1919-02","26.5","34.2","18.9"
"USC00200230","ANN ARBOR U OF MICH, MI US","1919-03","36.0","44.8","27.1"
